RBD,PAGO_MATRICULA2020,PAGO_MENSUAL2020,PAGO_MATRICULA2021,PAGO_MENSUAL2021,PAGO_MATRICULA2022,PAGO_MENSUAL2022,PAGO_MATRICULA2023,PAGO_MENSUAL2023,RURAL
9077,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
24474,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,0.0
14492,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
4553,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
5879,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
41295,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
2961,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
25514,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
25235,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
11811,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
14389,$1.000 A $10.000,GRATUITO,$1.000 A $10.000,GRATUITO,$1.000 A $10.000,GRATUITO,$1.000 A $10.000,GRATUITO,0.0
8499,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
14946,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
8430,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
20469,GRATUITO,GRATUITO,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,0.0
31039,$1.000 A $10.000,GRATUITO,$1.000 A $10.000,GRATUITO,$1.000 A $10.000,GRATUITO,$1.000 A $10.000,GRATUITO,0.0
40352,$1.000 A $10.000,GRATUITO,$1.000 A $10.000,GRATUITO,$1.000 A $10.000,GRATUITO,GRATUITO,GRATUITO,0.0
9690,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
20214,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
2101,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
31287,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
25735,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
14545,$1.000 A $10.000,$1.000 A $10.000,$1.000 A $10.000,$1.000 A $10.000,$1.000 A $10.000,$1.000 A $10.000,$1.000 A $10.000,$1.000 A $10.000,0.0
25237,GRATUITO,$1.000 A $10.000,GRATUITO,$1.000 A $10.000,GRATUITO,$1.000 A $10.000,GRATUITO,$1.000 A $10.000,0.0
1894,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
25876,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
25463,$1.000 A $10.000,GRATUITO,$1.000 A $10.000,GRATUITO,$1.000 A $10.000,GRATUITO,$1.000 A $10.000,GRATUITO,0.0
14592,$1.000 A $10.000,GRATUITO,$1.000 A $10.000,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
12146,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
26143,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
8474,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
26333,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
107,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
9107,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
22638,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
8941,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,0.0
10555,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
2938,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
2751,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
2455,$1.000 A $10.000,$25.001 A $50.000,$1.000 A $10.000,$25.001 A $50.000,$1.000 A $10.000,$25.001 A $50.000,$1.000 A $10.000,$50.001 A $100.000,0.0
10398,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
5,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
25504,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
20063,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
3243,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
14759,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
8813,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
5570,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
191,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,1.0
25818,$1.000 A $10.000,GRATUITO,$1.000 A $10.000,GRATUITO,$1.000 A $10.000,GRATUITO,$1.000 A $10.000,GRATUITO,0.0
26371,$1.000 A $10.000,GRATUITO,$1.000 A $10.000,GRATUITO,$1.000 A $10.000,GRATUITO,$1.000 A $10.000,GRATUITO,0.0
1672,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
7,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
6585,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
20114,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
8870,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,0.0
11287,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
12696,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,1.0
40338,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
10449,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
25951,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
9865,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
11417,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
10780,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
9292,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
8487,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
24238,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
18241,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
9666,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
9460,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
25982,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
14454,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
1666,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
24926,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
6787,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
8553,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
25727,$1.000 A $10.000,$50.001 A $100.000,$1.000 A $10.000,$50.001 A $100.000,$1.000 A $10.000,$50.001 A $100.000,$1.000 A $10.000,$50.001 A $100.000,0.0
16935,GRATUITO,GRATUITO,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,0.0
20359,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,0.0
9585,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
25736,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
1860,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
14547,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
9579,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
10696,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
845,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
14417,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
13528,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
1504,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
8878,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,0.0
8485,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
5394,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
9726,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
20347,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,0.0
12630,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
14852,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
9688,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
26062,$1.000 A $10.000,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
25938,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
1621,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
25932,$1.000 A $10.000,GRATUITO,$1.000 A $10.000,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
1777,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,0.0
31220,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,1.0
25543,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
8541,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
9006,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
12758,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
20078,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
2110,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
31405,GRATUITO,GRATUITO,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,0.0
9917,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
1,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
14462,$1.000 A $10.000,$10.001 A $25.000,$1.000 A $10.000,$10.001 A $25.000,$1.000 A $10.000,$10.001 A $25.000,$1.000 A $10.000,$10.001 A $25.000,0.0
24754,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
12185,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
2422,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
10128,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
9586,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
199,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
25014,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
5507,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
9877,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
25448,$1.000 A $10.000,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
4165,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
2329,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
22354,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
1464,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
5023,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
9411,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
1584,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
1515,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
24565,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,0.0
17654,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
31368,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
478,GRATUITO,$25.001 A $50.000,GRATUITO,$25.001 A $50.000,GRATUITO,$25.001 A $50.000,GRATUITO,$25.001 A $50.000,0.0
26225,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
11921,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
9312,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
9583,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
40160,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
4554,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
40400,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
8495,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
14208,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
26531,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
10254,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
25114,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
8839,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
20443,GRATUITO,GRATUITO,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,0.0
6070,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
11952,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
8497,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
10727,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
3645,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
9127,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
9747,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
8490,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
20404,GRATUITO,GRATUITO,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,0.0
12682,GRATUITO,$50.001 A $100.000,GRATUITO,$50.001 A $100.000,GRATUITO,$50.001 A $100.000,GRATUITO,MAS DE $100.000,0.0
3639,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
5571,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
26087,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
7323,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
24997,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
9298,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
13461,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
40414,$1.000 A $10.000,GRATUITO,$1.000 A $10.000,GRATUITO,$1.000 A $10.000,GRATUITO,$1.000 A $10.000,GRATUITO,0.0
18054,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
22475,$1.000 A $10.000,GRATUITO,$1.000 A $10.000,GRATUITO,$1.000 A $10.000,GRATUITO,$1.000 A $10.000,GRATUITO,0.0
25322,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
25352,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
25089,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
1194,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
2356,$1.000 A $10.000,$25.001 A $50.000,$1.000 A $10.000,$25.001 A $50.000,$1.000 A $10.000,$25.001 A $50.000,$1.000 A $10.000,$25.001 A $50.000,0.0
397,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
9267,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,0.0
41099,SIN INFORMACION,SIN INFORMACION,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
10515,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
9784,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
8491,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
9237,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,0.0
24403,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
22633,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
8873,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,MAS DE $100.000,0.0
10688,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,1.0
8488,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
26061,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
17796,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
3443,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,1.0
10543,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
25977,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
25335,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,0.0
2041,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
1414,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
8489,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
8587,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
26019,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
15759,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
22374,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
31034,$1.000 A $10.000,GRATUITO,$1.000 A $10.000,GRATUITO,$1.000 A $10.000,GRATUITO,$1.000 A $10.000,GRATUITO,0.0
16847,GRATUITO,GRATUITO,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,0.0
9121,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
6772,GRATUITO,$1.000 A $10.000,GRATUITO,$1.000 A $10.000,GRATUITO,$1.000 A $10.000,GRATUITO,$1.000 A $10.000,1.0
11246,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
11706,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
26286,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
1675,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,GRATUITO,0.0
